account_id,account_name,region_id,region_name,contract_tier,contract_start_date,renewal_date,churn_date
25,"Morrison, Griffiths and Knowles",9,East Midlands,Pro,2025-11-25,2026-11-25,
26,Kaur Ltd,10,East England,Enterprise,2025-09-15,2026-09-15,
27,"Mills, Dixon and Thomson",3,North West England,Pro,2025-11-10,2026-11-10,
28,Gardner Inc,14,South East England,Basic,2025-04-20,2026-04-20,
29,"Hilton, Scott and Richardson",11,South West England,Basic,2025-09-27,2026-09-27,
30,Davies and Sons,10,East England,Basic,2026-07-18,2027-07-18,
31,Holloway-Jones,9,East Midlands,Pro,2026-05-09,2027-05-09,
32,"Smith, Owens and Reed",2,South Scotland,Pro,2026-02-07,2027-02-07,
33,Brown-Pearson,13,London,Basic,2026-01-17,2027-01-17,
34,Lynch-Howell,3,North West England,Enterprise,2025-10-13,2026-10-13,2026-02-24
35,James Ltd,13,London,Basic,2025-05-25,2026-05-25,
36,"Brooks, Curtis and Lewis",11,South West England,Pro,2025-07-25,2026-07-25,
37,Reynolds Group,4,North East England,Basic,2025-05-12,2026-05-12,
38,"Harper, Ellis and Armstrong",13,London,Basic,2026-06-10,2027-06-10,
39,"Edwards, Winter and Ellis",6,"North Wales, Merseyside and Cheshire",Enterprise,2025-10-31,2026-10-31,2026-05-04
40,Foster-Harvey,14,South East England,Basic,2026-04-12,2027-04-12,
41,"Sutton, Knight and Fletcher",10,East England,Basic,2026-06-22,2027-06-22,2026-08-07
42,Mason-Jones,2,South Scotland,Pro,2026-07-08,2027-07-08,
43,Nicholls-Iqbal,3,North West England,Pro,2026-01-26,2027-01-26,
44,"Smith, Lee and Burrows",5,South Yorkshire,Basic,2025-11-20,2026-11-20,
45,Webster-Burns,4,North East England,Pro,2026-06-13,2027-06-13,
46,"Robinson, Stephenson and Khan",4,North East England,Enterprise,2026-02-23,2027-02-23,
47,Stewart LLC,11,South West England,Pro,2025-09-02,2026-09-02,
48,"Day, Jones and Campbell",2,South Scotland,Basic,2025-06-29,2026-06-29,
49,Kent Inc,10,East England,Basic,2025-12-03,2026-12-03,
50,Crawford PLC,2,South Scotland,Basic,2026-02-20,2027-02-20,
51,Murray-Benson,1,North Scotland,Pro,2026-05-09,2027-05-09,
52,"Martin, Donnelly and Andrews",5,South Yorkshire,Pro,2026-01-31,2027-01-31,
53,Evans-Wright,12,South England,Pro,2026-06-16,2027-06-16,
54,"Fowler, Andrews and Bray",4,North East England,Basic,2026-03-31,2027-03-31,
55,Smith-Roberts,2,South Scotland,Basic,2025-04-13,2026-04-13,
56,"Birch, Hodgson and Moore",7,South Wales,Basic,2025-10-20,2026-10-20,
57,Fox-Clark,11,South West England,Basic,2026-07-11,2027-07-11,
58,Wood Group,12,South England,Basic,2025-08-15,2026-08-15,
59,"Evans, Richardson and Stone",4,North East England,Basic,2025-05-31,2026-05-31,
60,Butler-Collins,3,North West England,Enterprise,2025-07-15,2026-07-15,
61,"Rees, West and Richards",2,South Scotland,Enterprise,2025-10-07,2026-10-07,
62,Williams-Douglas,2,South Scotland,Pro,2025-03-20,2026-03-20,
63,"Ryan, Foster and Wilson",1,North Scotland,Basic,2026-07-04,2027-07-04,2026-07-19
64,Pickering-Turner,8,West Midlands,Basic,2025-10-27,2026-10-27,
65,Bailey LLC,1,North Scotland,Enterprise,2025-05-18,2026-05-18,
66,Jarvis Group,5,South Yorkshire,Basic,2026-06-12,2027-06-12,
67,Jones-Gill,7,South Wales,Enterprise,2026-02-14,2027-02-14,
68,Jones-Thomson,9,East Midlands,Basic,2026-01-27,2027-01-27,
69,"Stone, Hall and Smith",5,South Yorkshire,Pro,2025-06-14,2026-06-14,
70,Lewis-Ross,9,East Midlands,Basic,2025-03-26,2026-03-26,
71,"Shepherd, Richardson and Evans",10,East England,Enterprise,2025-10-25,2026-10-25,
72,Cooper LLC,3,North West England,Basic,2025-03-24,2026-03-24,
73,Thomas and Sons,3,North West England,Pro,2025-03-30,2026-03-30,
74,Dickinson-Faulkner,4,North East England,Basic,2025-09-17,2026-09-17,2026-07-05
75,Carter Group,10,East England,Basic,2025-03-15,2026-03-15,
76,"Kennedy, Moore and Brown",10,East England,Enterprise,2025-12-09,2026-12-09,
77,Sutton and Sons,4,North East England,Basic,2026-01-31,2027-01-31,
78,Thompson PLC,7,South Wales,Basic,2025-05-01,2026-05-01,
79,Murphy-Johnston,6,"North Wales, Merseyside and Cheshire",Basic,2026-06-13,2027-06-13,
80,Jones-Cooper,8,West Midlands,Enterprise,2026-01-07,2027-01-07,
81,Barton-Williams,2,South Scotland,Basic,2025-11-25,2026-11-25,
82,"Perry, Freeman and Coates",6,"North Wales, Merseyside and Cheshire",Basic,2026-05-20,2027-05-20,2026-06-20
83,Mann PLC,3,North West England,Pro,2025-10-05,2026-10-05,
84,Collier-Thompson,10,East England,Pro,2026-07-11,2027-07-11,
85,Bates Inc,1,North Scotland,Basic,2026-01-30,2027-01-30,
86,Rogers-Hussain,11,South West England,Basic,2025-04-17,2026-04-17,
87,"Shaw, Humphries and Webb",2,South Scotland,Basic,2026-05-24,2027-05-24,2026-08-02
88,Lucas LLC,5,South Yorkshire,Basic,2025-12-29,2026-12-29,
89,Harris-Jenkins,11,South West England,Pro,2026-01-13,2027-01-13,
90,Walton PLC,5,South Yorkshire,Basic,2026-06-01,2027-06-01,
91,"Gill, Coates and Harris",11,South West England,Basic,2025-09-27,2026-09-27,
92,Robinson Inc,6,"North Wales, Merseyside and Cheshire",Basic,2026-03-24,2027-03-24,2026-05-30
93,"Sykes, Sullivan and Williams",8,West Midlands,Pro,2025-12-02,2026-12-02,
94,Wilson Ltd,2,South Scotland,Pro,2025-04-02,2026-04-02,
95,"Howard, Turner and Gray",3,North West England,Pro,2025-11-29,2026-11-29,2026-06-06
96,Freeman and Sons,3,North West England,Basic,2025-10-01,2026-10-01,2026-03-07
97,Dickinson-Robertson,13,London,Enterprise,2026-07-05,2027-07-05,
98,Martin-Slater,4,North East England,Basic,2026-02-07,2027-02-07,
99,"Wong, Dixon and Davies",13,London,Basic,2025-12-06,2026-12-06,
100,Foster Ltd,10,East England,Enterprise,2026-03-13,2027-03-13,
101,"Smith, Palmer and Wright",14,South East England,Pro,2025-05-17,2026-05-17,
102,Robinson-Ross,7,South Wales,Enterprise,2025-03-07,2026-03-07,
103,Walker and Sons,13,London,Pro,2026-06-14,2027-06-14,
104,Pearson-Jones,12,South England,Basic,2026-04-14,2027-04-14,
105,"Nelson, Green and Ball",12,South England,Basic,2025-04-19,2026-04-19,
106,"Williams, Smith and Stokes",8,West Midlands,Enterprise,2025-06-16,2026-06-16,
107,"Hill, Coles and Farrell",6,"North Wales, Merseyside and Cheshire",Enterprise,2025-07-29,2026-07-29,
108,Gardner-Lee,4,North East England,Basic,2025-03-07,2026-03-07,
109,Bruce-Andrews,5,South Yorkshire,Basic,2026-05-11,2027-05-11,2026-08-17
110,Jackson-Elliott,11,South West England,Enterprise,2025-11-10,2026-11-10,
111,Andrews-Gibbs,9,East Midlands,Basic,2025-08-11,2026-08-11,
112,Turner-Gray,5,South Yorkshire,Enterprise,2025-05-25,2026-05-25,
113,Potter Group,1,North Scotland,Basic,2025-04-19,2026-04-19,
114,"Harvey, Walker and Williams",13,London,Enterprise,2025-08-02,2026-08-02,
115,Taylor-King,2,South Scotland,Basic,2025-09-08,2026-09-08,
116,Morgan-Mason,1,North Scotland,Pro,2026-02-20,2027-02-20,
117,Stokes Inc,13,London,Enterprise,2025-11-25,2026-11-25,
118,Nicholson Inc,12,South England,Basic,2026-02-01,2027-02-01,
119,"Jones, Barnett and Powell",11,South West England,Basic,2026-06-09,2027-06-09,
120,Murray-Wong,14,South East England,Basic,2025-04-27,2026-04-27,
121,"Walton, Harvey and Turner",5,South Yorkshire,Basic,2026-01-30,2027-01-30,
122,"Thomas, Burns and Williams",5,South Yorkshire,Pro,2025-12-03,2026-12-03,2026-07-06
123,Clarke LLC,7,South Wales,Basic,2026-02-04,2027-02-04,
124,Stewart-Lambert,10,East England,Pro,2025-07-27,2026-07-27,
125,"Charlton, Bennett and Robinson",5,South Yorkshire,Pro,2025-07-19,2026-07-19,
126,Thomson Inc,10,East England,Basic,2026-01-24,2027-01-24,
127,Anderson Ltd,11,South West England,Pro,2025-06-12,2026-06-12,
128,O'Neill-Khan,13,London,Basic,2026-03-06,2027-03-06,
129,Smith-Rhodes,9,East Midlands,Basic,2026-01-28,2027-01-28,
130,Fletcher and Sons,14,South East England,Pro,2026-06-25,2027-06-25,
131,Ellis-Giles,4,North East England,Basic,2026-04-11,2027-04-11,
132,Welch-Hutchinson,4,North East England,Pro,2026-07-11,2027-07-11,
133,"Morgan, Wilson and Williams",2,South Scotland,Pro,2025-10-14,2026-10-14,
134,Evans Inc,4,North East England,Basic,2026-02-25,2027-02-25,
135,Richards-Hancock,4,North East England,Basic,2025-05-09,2026-05-09,
136,Morgan Group,13,London,Basic,2026-05-09,2027-05-09,
137,"Knight, Taylor and Taylor",7,South Wales,Enterprise,2025-06-15,2026-06-15,
138,West-Jones,9,East Midlands,Enterprise,2025-10-18,2026-10-18,2026-02-22
139,Johnson-Daly,2,South Scotland,Pro,2025-10-14,2026-10-14,2026-06-08
140,"Hughes, Khan and Smith",9,East Midlands,Pro,2025-12-24,2026-12-24,
141,"Carter, Ferguson and Miller",8,West Midlands,Enterprise,2026-01-02,2027-01-02,
142,"Taylor, Brown and Carroll",7,South Wales,Basic,2026-04-24,2027-04-24,
143,Jackson-Hutchinson,3,North West England,Basic,2026-03-10,2027-03-10,
144,"Fuller, Price and Marsh",13,London,Basic,2025-06-29,2026-06-29,
145,"Rose, Day and Phillips",13,London,Basic,2025-11-16,2026-11-16,
146,Reid PLC,8,West Midlands,Basic,2025-04-03,2026-04-03,
147,"Kemp, Cross and Smith",6,"North Wales, Merseyside and Cheshire",Basic,2025-08-05,2026-08-05,
148,McDonald Group,3,North West England,Basic,2025-06-21,2026-06-21,
149,"Foster, Goddard and Murray",4,North East England,Basic,2025-03-27,2026-03-27,
150,Gibson-Kerr,8,West Midlands,Basic,2025-09-23,2026-09-23,2026-04-26
151,"Brown, Glover and May",13,London,Basic,2025-12-19,2026-12-19,
152,"Graham, Andrews and Sykes",13,London,Basic,2025-12-14,2026-12-14,
153,Donnelly-Jones,6,"North Wales, Merseyside and Cheshire",Enterprise,2025-07-25,2026-07-25,
154,"Nicholls, Holloway and Wilson",14,South East England,Pro,2025-09-25,2026-09-25,
155,Stewart LLC,13,London,Basic,2025-12-28,2026-12-28,
156,"Knight, Pugh and Green",5,South Yorkshire,Basic,2025-10-04,2026-10-04,
157,Barber-Jones,11,South West England,Pro,2026-02-05,2027-02-05,
158,Thornton-Watson,14,South East England,Enterprise,2025-10-20,2026-10-20,
159,Taylor-Spencer,9,East Midlands,Pro,2025-03-08,2026-03-08,
160,"Fry, Jones and Davies",11,South West England,Basic,2025-03-08,2026-03-08,2026-05-20
161,Begum-Brown,8,West Midlands,Basic,2025-05-27,2026-05-27,2025-12-07
162,Noble-Humphreys,8,West Midlands,Enterprise,2025-08-09,2026-08-09,
163,"Watts, Brookes and Harding",5,South Yorkshire,Basic,2026-03-15,2027-03-15,
164,"Bell, Dean and Lewis",14,South East England,Pro,2025-04-05,2026-04-05,
165,"Cooper, Clarke and Scott",1,North Scotland,Pro,2026-06-25,2027-06-25,
166,"Jordan, Ali and Saunders",13,London,Pro,2026-06-28,2027-06-28,
167,Brown LLC,4,North East England,Pro,2025-06-05,2026-06-05,
168,"Foster, Bennett and Williams",4,North East England,Basic,2025-04-28,2026-04-28,
169,"Wyatt, Hughes and Anderson",4,North East England,Pro,2025-10-19,2026-10-19,
170,Simpson Group,3,North West England,Pro,2025-12-30,2026-12-30,
171,Carter-Smith,2,South Scotland,Enterprise,2026-03-28,2027-03-28,
172,"Khan, Jones and Haynes",2,South Scotland,Pro,2025-12-16,2026-12-16,2026-03-05
173,Richards-Connor,7,South Wales,Basic,2025-09-14,2026-09-14,
174,"Walker, Lee and Patel",10,East England,Basic,2026-02-11,2027-02-11,
175,Ellis-Campbell,12,South England,Pro,2026-03-25,2027-03-25,
176,Johnson Inc,13,London,Pro,2025-04-25,2026-04-25,
177,"Parkes, Green and Johnson",1,North Scotland,Pro,2025-08-19,2026-08-19,
178,Baker-Walker,2,South Scotland,Basic,2025-11-09,2026-11-09,
179,Cook and Sons,7,South Wales,Basic,2026-04-20,2027-04-20,
180,"Williams, Morgan and Bell",6,"North Wales, Merseyside and Cheshire",Basic,2026-01-14,2027-01-14,
181,"Kelly, Field and Baker",3,North West England,Pro,2025-10-03,2026-10-03,
182,Adams-Winter,11,South West England,Enterprise,2025-07-11,2026-07-11,
183,"Wilson, Phillips and Clark",13,London,Pro,2025-10-28,2026-10-28,
184,Williams Ltd,10,East England,Basic,2025-07-10,2026-07-10,
185,Powell-Baker,2,South Scotland,Basic,2025-07-15,2026-07-15,
186,Brooks Group,8,West Midlands,Basic,2025-12-11,2026-12-11,
187,Hussain Ltd,1,North Scotland,Basic,2025-11-03,2026-11-03,
188,Reid PLC,4,North East England,Basic,2025-08-23,2026-08-23,
189,Scott-Read,10,East England,Pro,2026-02-17,2027-02-17,
190,Howard-Williams,9,East Midlands,Basic,2026-06-23,2027-06-23,
191,"Harrison, Woodward and Edwards",7,South Wales,Basic,2025-10-31,2026-10-31,
192,Burke-Evans,8,West Midlands,Basic,2026-01-19,2027-01-19,
193,Elliott PLC,1,North Scotland,Basic,2025-04-11,2026-04-11,
194,Foster-Watts,4,North East England,Basic,2025-07-29,2026-07-29,
195,Scott-Robinson,9,East Midlands,Enterprise,2025-11-21,2026-11-21,
196,Black Ltd,9,East Midlands,Basic,2025-08-11,2026-08-11,
197,Hill Inc,5,South Yorkshire,Pro,2025-07-01,2026-07-01,
198,Atkins Group,6,"North Wales, Merseyside and Cheshire",Enterprise,2025-04-25,2026-04-25,
199,Jones-Rose,12,South England,Pro,2025-05-28,2026-05-28,
200,"Clark, Gilbert and Taylor",5,South Yorkshire,Pro,2026-02-28,2027-02-28,
201,Newton-Wood,10,East England,Pro,2025-07-17,2026-07-17,
202,Walsh-Conway,5,South Yorkshire,Basic,2025-06-19,2026-06-19,
203,West Inc,12,South England,Enterprise,2025-11-23,2026-11-23,2025-12-16
204,Jennings Group,9,East Midlands,Basic,2025-07-22,2026-07-22,
205,Hawkins and Sons,14,South East England,Enterprise,2026-03-15,2027-03-15,
206,Lewis Inc,10,East England,Basic,2025-07-18,2026-07-18,
207,"Foster, Briggs and Brown",3,North West England,Basic,2026-07-02,2027-07-02,2026-08-01
208,Singh-Thomas,2,South Scotland,Pro,2025-09-16,2026-09-16,
209,Cooper and Sons,11,South West England,Pro,2025-03-22,2026-03-22,
210,Ward-Allen,5,South Yorkshire,Basic,2025-04-07,2026-04-07,
211,Richardson Group,13,London,Pro,2025-09-24,2026-09-24,
212,"Knight, Manning and Graham",4,North East England,Basic,2026-03-27,2027-03-27,
213,Fox Group,8,West Midlands,Enterprise,2025-07-25,2026-07-25,
214,"Evans, Smith and Jones",5,South Yorkshire,Pro,2025-12-11,2026-12-11,
215,Thompson-Ward,12,South England,Basic,2025-04-14,2026-04-14,
216,"Coleman, Thompson and Baker",4,North East England,Basic,2025-07-08,2026-07-08,
217,Burns-Morrison,3,North West England,Basic,2025-12-02,2026-12-02,2025-12-03
218,Long Ltd,12,South England,Basic,2025-12-24,2026-12-24,
219,"Walsh, Parker and Baldwin",5,South Yorkshire,Enterprise,2026-02-19,2027-02-19,
220,Edwards PLC,2,South Scotland,Basic,2026-02-09,2027-02-09,
221,Brennan-Lee,13,London,Pro,2026-01-09,2027-01-09,
222,"Jones, Smith and Jones",4,North East England,Pro,2025-09-28,2026-09-28,2026-01-21
223,"Ford, Leonard and White",5,South Yorkshire,Basic,2026-04-22,2027-04-22,2026-04-29
224,"Khan, Farrell and Lewis",5,South Yorkshire,Pro,2025-12-24,2026-12-24,
225,Parker Ltd,5,South Yorkshire,Pro,2025-10-05,2026-10-05,2026-03-09
226,"Knight, Lewis and Edwards",5,South Yorkshire,Basic,2025-11-06,2026-11-06,
227,Gray-Hughes,10,East England,Pro,2025-03-15,2026-03-15,
228,Allen PLC,10,East England,Enterprise,2025-07-01,2026-07-01,2025-10-26
229,Parker PLC,14,South East England,Enterprise,2026-05-09,2027-05-09,
230,Stone-Wade,13,London,Pro,2026-02-02,2027-02-02,
231,Price Inc,13,London,Pro,2026-03-17,2027-03-17,
232,Woodward-Matthews,8,West Midlands,Enterprise,2026-06-07,2027-06-07,
233,"Khan, Wells and Bowen",7,South Wales,Enterprise,2026-01-14,2027-01-14,
234,Taylor-Brookes,8,West Midlands,Basic,2025-08-20,2026-08-20,
235,"Morgan, Jones and Gardner",2,South Scotland,Basic,2026-05-08,2027-05-08,
236,Thompson-Cooper,8,West Midlands,Basic,2025-07-20,2026-07-20,
237,Holland PLC,13,London,Basic,2025-12-01,2026-12-01,2026-01-15
238,"Thompson, Owen and Roberts",6,"North Wales, Merseyside and Cheshire",Basic,2025-04-23,2026-04-23,
239,"Gallagher, James and Webb",9,East Midlands,Pro,2026-04-21,2027-04-21,
240,Allen-Walker,9,East Midlands,Basic,2025-10-17,2026-10-17,
241,"Davies, Collier and Vincent",6,"North Wales, Merseyside and Cheshire",Pro,2026-01-07,2027-01-07,
242,"Thompson, Freeman and Atkinson",13,London,Pro,2025-03-21,2026-03-21,
243,"Gardner, Smith and Hodgson",5,South Yorkshire,Basic,2025-10-05,2026-10-05,
244,Holden and Sons,1,North Scotland,Pro,2026-07-06,2027-07-06,
245,Jordan Group,12,South England,Basic,2025-05-15,2026-05-15,
246,"Wilson, Hughes and Williams",7,South Wales,Pro,2025-04-11,2026-04-11,
247,"Bates, Collins and Barber",2,South Scotland,Pro,2025-10-17,2026-10-17,
248,Thomas and Sons,3,North West England,Basic,2025-11-05,2026-11-05,
249,Hall LLC,12,South England,Basic,2025-07-12,2026-07-12,
250,"Bennett, Martin and Collier",8,West Midlands,Basic,2025-06-27,2026-06-27,
